Coral Type,Site,Year,Depletion Rate,latitude,longitude,Number of Records
Soft Coals,site01,2014,0.7499,-11.843,143.515,1
Soft Coals,site02,2014,0.1578,-18.937,147.898,1
Soft Coals,site03,2014,0.2689,-10.321,144.081,1
Soft Coals,site04,2014,0.1098,-20.414,150.444,1
Soft Coals,site05,2014,0.6023,-13.107,143.786,1
Soft Coals,site06,2014,,-17.981,146.589,1
Soft Coals,site07,2014,0.5645,-14.383,145.043,1
Soft Coals,site08,2014,0.6003,-16.091,145.715,1
Soft Coals,site01,2015,0.7534,-11.843,143.515,1
Soft Coals,site02,2015,0.1721,-18.937,147.898,1
Soft Coals,site03,2015,0.3721,-10.321,144.081,1
Soft Coals,site04,2015,0.1134,-20.414,150.444,1
Soft Coals,site05,2015,0.7623,-13.107,143.786,1
Soft Coals,site06,2015,,-17.981,146.589,1
Soft Coals,site07,2015,0.5876,-14.383,145.043,1
Soft Coals,site08,2015,0.6012,-16.091,145.715,1
Soft Coals,site01,2016,0.8021,-11.843,143.515,1
Soft Coals,site02,2016,0.1923,-18.937,147.898,1
Soft Coals,site03,2016,0.6023,-10.321,144.081,1
Soft Coals,site04,2016,0.1178,-20.414,150.444,1
Soft Coals,site05,2016,0.9123,-13.107,143.786,1
Soft Coals,site06,2016,,-17.981,146.589,1
Soft Coals,site07,2016,0.6078,-14.383,145.043,1
Soft Coals,site08,2016,0.6321,-16.091,145.715,1
Soft Coals,site01,2017,0.8387,-11.843,143.515,1
Soft Coals,site02,2017,0.2123,-18.937,147.898,1
Soft Coals,site03,2017,0.7534,-10.321,144.081,1
Soft Coals,site04,2017,0.1245,-20.414,150.444,1
Soft Coals,site05,2017,0.9423,-13.107,143.786,1
Soft Coals,site06,2017,,-17.981,146.589,1
Soft Coals,site07,2017,0.6789,-14.383,145.043,1
Soft Coals,site08,2017,0.6523,-16.091,145.715,1
